target,method,iteration,loss,objective,accepted,backtracks,certified,minimum_signed_area_ratio
manufactured,mu_lbs_fixed,0,0.10806712214677042,,True,0,True,0.7865044386582412
manufactured,mu_lbs_fixed,1,0.06248360265576895,,True,0,True,0.6305928673850251
manufactured,mu_lbs_fixed,2,0.03672110084497408,,True,0,True,0.5096410699594703
manufactured,mu_lbs_fixed,3,0.02490799065623538,,True,0,True,0.4376946686386535
manufactured,mu_lbs_fixed,4,0.021977031211359264,,True,0,True,0.41039642849344515
manufactured,mu_lbs_fixed,5,0.02464287789610587,,True,0,True,0.4069843829783002
manufactured,mu_lbs_fixed,6,0.028690455661233252,,True,0,True,0.4069364063709402
manufactured,mu_lbs_fixed,7,0.031122334252775406,,True,0,True,0.4025989781076195
manufactured,mu_lbs_fixed,8,0.030781315103291414,,True,0,True,0.42052206293319694
manufactured,mu_lbs_fixed,9,0.028359002288924656,,True,0,True,0.45137338851222825
manufactured,mu_lbs_fixed,10,0.02478263666265009,,True,0,True,0.48408726659450696
manufactured,mu_lbs_fixed,11,0.021058888659326973,,True,0,True,0.49206168724437166
manufactured,mu_lbs_fixed,12,0.01807993205672649,,True,0,True,0.4975068939046689
manufactured,mu_lbs_fixed,13,0.01625489623909584,,True,0,True,0.5206622515475365
manufactured,mu_lbs_fixed,14,0.015447167061553824,,True,0,True,0.556626802222707
manufactured,mu_lbs_fixed,15,0.015322722277106269,,True,0,True,0.5666638144822103
manufactured,mu_lbs_fixed,16,0.01554253317546455,,True,0,True,0.5777551606209934
manufactured,mu_lbs_fixed,17,0.01577714366138902,,True,0,True,0.5901657661596407
manufactured,mu_lbs_fixed,18,0.015762459171304234,,True,0,True,0.5865482765733671
manufactured,mu_lbs_fixed,19,0.015374187993919135,,True,0,True,0.5775048957387173
manufactured,mu_lbs_fixed,20,0.01470462753305556,,True,0,True,0.5703443579127313
manufactured,mu_lbs_fixed,21,0.013943575886974795,,True,0,True,0.5653157630262013
manufactured,mu_lbs_fixed,22,0.013214981989705027,,True,0,True,0.5611601623556732
manufactured,mu_lbs_fixed,23,0.012581953780276657,,True,0,True,0.5559536456845615
manufactured,mu_lbs_fixed,24,0.012079611022894574,,True,0,True,0.5484117582601339
manufactured,mu_lbs_fixed,25,0.011717537708017353,,True,0,True,0.5388227052984854
manufactured,mu_lbs_fixed,26,0.011506459864678686,,True,0,True,0.5293067678944643
manufactured,mu_lbs_fixed,27,0.011447228519656806,,True,0,True,0.5228415547711023
manufactured,mu_lbs_fixed,28,0.011477777474965815,,True,0,True,0.5216325880790693
manufactured,mu_lbs_fixed,29,0.011487238826522967,,True,0,True,0.525921154156412
manufactured,mu_lbs_fixed,30,0.01139807896082323,,True,0,True,0.5337715812889543
manufactured,mu_lbs_fixed,31,0.011203449893812582,,True,0,True,0.5419238877449022
manufactured,mu_lbs_fixed,32,0.0109443485271178,,True,0,True,0.5472536164266658
manufactured,mu_lbs_fixed,33,0.010683673123749585,,True,0,True,0.5476084146709469
manufactured,mu_lbs_fixed,34,0.010466825523373292,,True,0,True,0.5432262211149411
manufactured,mu_lbs_fixed,35,0.01029610509398387,,True,0,True,0.5357718019856214
manufactured,mu_lbs_fixed,36,0.010170873192468729,,True,0,True,0.5269835349738043
manufactured,mu_lbs_fixed,37,0.010112327239987907,,True,0,True,0.5184095002697041
manufactured,mu_lbs_fixed,38,0.010118840315221303,,True,0,True,0.5109535355615765
manufactured,mu_lbs_fixed,39,0.010145231009081069,,True,0,True,0.5062328650986444
manufactured,direct_none,0,0.10006712214677077,0.10006712214677077,True,0,True,0.040000195224426396
manufactured,direct_none,1,0.5844481118001259,0.5844481118001259,True,0,False,-0.2833353223018898
manufactured,direct_none,2,3.5276406808390655,3.5276406808390655,True,0,True,0.09795453864227732
manufactured,direct_none,3,0.426299098302608,0.426299098302608,True,0,False,-0.13610545592137424
manufactured,direct_none,4,3.3995404798266278,3.3995404798266278,True,0,False,-0.11045409092765636
manufactured,direct_none,5,3.4536211221023176,3.4536211221023176,True,0,True,0.08961706813250925
manufactured,direct_none,6,0.3675291456086,0.3675291456086,True,0,True,0.08847621951348428
manufactured,direct_none,7,0.37309784964052484,0.37309784964052484,True,0,False,-0.009814959123094462
manufactured,direct_none,8,3.56113557834865,3.56113557834865,True,0,False,-0.2595265346365107
manufactured,direct_none,9,3.5754323653705664,3.5754323653705664,True,0,True,0.12172026785257775
manufactured,direct_none,10,0.2520560286342136,0.2520560286342136,True,0,True,0.2726226797792449
manufactured,direct_none,11,0.16960797639758268,0.16960797639758268,True,0,True,0.2395732683762704
manufactured,direct_none,12,0.18611904969519685,0.18611904969519685,True,0,True,0.09044790471253343
manufactured,direct_none,13,0.20662102423349957,0.20662102423349957,True,0,True,0.17948389269877035
manufactured,direct_none,14,0.16864365489104294,0.16864365489104294,True,0,True,0.160879886187583
manufactured,direct_none,15,0.17833153569155755,0.17833153569155755,True,0,True,0.27825602827598744
manufactured,direct_none,16,0.15245488336781107,0.15245488336781107,True,0,True,0.2588316114449252
manufactured,direct_none,17,0.1397375280729151,0.1397375280729151,True,0,True,0.2364454574161756
manufactured,direct_none,18,0.13261116540976073,0.13261116540976073,True,0,True,0.15120084355299537
manufactured,direct_none,19,0.13647939652574506,0.13647939652574506,True,0,True,0.25543787491715597
manufactured,direct_none,20,0.12047257429653832,0.12047257429653832,True,0,True,0.17799344595550656
manufactured,direct_none,21,0.11348625481998777,0.11348625481998777,True,0,True,0.22145808474632733
manufactured,direct_none,22,0.09816439216788668,0.09816439216788668,True,0,True,0.3300647080730954
manufactured,direct_none,23,0.07614242228517973,0.07614242228517973,True,0,True,0.3403275736735763
manufactured,direct_none,24,0.06336430760094908,0.06336430760094908,True,0,True,0.3327781898178461
manufactured,direct_none,25,0.058378858549572483,0.058378858549572483,True,0,True,0.343365798915028
manufactured,direct_none,26,0.059644062070264015,0.059644062070264015,True,0,True,0.3682789343082795
manufactured,direct_none,27,0.06215596414080727,0.06215596414080727,True,0,True,0.39801696402082404
manufactured,direct_none,28,0.05920803762026164,0.05920803762026164,True,0,True,0.4231876750415234
manufactured,direct_none,29,0.04968692483934958,0.04968692483934958,True,0,True,0.46120705134697215
manufactured,direct_none,30,0.04444222904634147,0.04444222904634147,True,0,True,0.48144488346339004
manufactured,direct_none,31,0.042477340069020764,0.042477340069020764,True,0,True,0.4859913658003326
manufactured,direct_none,32,0.03924414880099547,0.03924414880099547,True,0,True,0.49624330207829404
manufactured,direct_none,33,0.03519328203434774,0.03519328203434774,True,0,True,0.4527320344329442
manufactured,direct_none,34,0.03076819309739446,0.03076819309739446,True,0,True,0.4836551256887294
manufactured,direct_none,35,0.025968822389336347,0.025968822389336347,True,0,True,0.49950256156042006
manufactured,direct_none,36,0.023401504346859347,0.023401504346859347,True,0,True,0.4791128926715373
manufactured,direct_none,37,0.022854546299986057,0.022854546299986057,True,0,True,0.4520112266017124
manufactured,direct_none,38,0.02195046924512825,0.02195046924512825,True,0,True,0.43617510293753914
manufactured,direct_none,39,0.02010150906069995,0.02010150906069995,True,0,True,0.4333122472087056
manufactured,direct_lim_style,0,0.10006712214677077,0.10006712214677077,True,0,True,0.040000195224426396
manufactured,direct_lim_style,1,0.5844481118001259,0.5882874383569994,True,1,True,0.24488851787091395
manufactured,direct_lim_style,2,0.14955564990368095,0.15181841655057626,True,0,True,0.06178500640532352
manufactured,direct_lim_style,3,0.3664830651179444,0.36930335151213584,True,0,True,0.19083197553724576
manufactured,direct_lim_style,4,0.24637090026609262,0.24884242825864852,True,1,True,0.13843862612527438
manufactured,direct_lim_style,5,0.20199959480166424,0.20432941895797158,True,0,True,0.17194750609383555
manufactured,direct_lim_style,6,0.2602183304373639,0.26301111444734976,True,0,True,0.17392253976966635
manufactured,direct_lim_style,7,0.3335484985352122,0.33683944968788215,True,0,True,0.21520542811053872
manufactured,direct_lim_style,8,0.28656405733488816,0.2898634949029348,True,0,True,0.3099209608673915
