source_receipt,route_label,method,task,selected_for_common_input,protocol_kind,primary_slice,status,comparable,failure_reason,notes,primary_timing_scope,memory_scope,hard_topology_scope,initialization_scope,control_side,resolution,seed,target_strength,image_name,learning_rate,hardware,commit,target_control_sum,target_control_l2,target_dense_sum,target_dense_l2,primary_objective,primary_global_solves,primary_wall_seconds,primary_forward_seconds,primary_backward_seconds,primary_dense_seconds,flip_count,minimum_signed_area,minimum_area_ratio,boundary_order_min_gap,topology_certified,map_rmse,maximum_map_error,mu_rmse,maximum_mu_error,image_mse,threshold_steps,threshold_global_solves,threshold_wall_seconds,final_objective,final_global_solves,final_topology_certified,algorithm_wall_seconds,wrapper_wall_seconds,cuda_peak_memory_GB_decimal,cuda_peak_memory_GiB_binary,latent_dimension,process_hwm_GB_decimal,explicit_state_MB_decimal,gradient_check_relative_error
route2_mvc_instance_formal_image_gpu_O1_ai_74b452c_clean.json,T1,O1_sigmoid_positive,image,True,optimized_instance,exact83,success,True,,"selected Route-I baseline; exact83 is primary; final/threshold are supplementary; shared numeric LR is a robustness cohort, not parameterization-fair tuning; no ranking before P1","cumulative trace components through exact83; forward is primal-solve time, backward is adjoint plus local backward, dense is dense loss evaluation",fresh-process process-lifetime HWM and CUDA allocator peak including comparison plus independent final re-decode,positive_Tutte_decoder_with_independent_iterate_audits,uniform_zero_logits_with_common_fixed_target_boundary,25,256,20260922,0.25,medical_phantom,0.001,ai | NVIDIA RTX A6000 | cuda | float64,74b452c39c39601bf5d1204288307e9a02a2aaa5,611.298547235479,20.29414436631711,63956.29216338156,205.46519723260525,0.0018133391059899444,83,30.472488559782505,17.73973558843136,9.342130571603775,0.03306414932012558,0,0.00043264000287846996,0.4984012833159974,0.024048915260125647,True,0.016078922451705193,0.05656931668253889,0.151093123743933,0.4218721774248744,0.0018133391059899444,,,,0.0010299604617734774,163,True,50.295521542429924,58.15044545009732,0.01839104,0.01712799072265625,,1.309868032,,
route2_mvc_instance_formal_image_gpu_O3_ai_74b452c_clean.json,T2,O3_mvc_adam,image,True,optimized_instance,exact83,success,True,,"selected task-complete MVC method; exact83 is primary; final/threshold are supplementary; shared numeric LR is a robustness cohort, not parameterization-fair tuning; no ranking before P1","cumulative trace components through exact83; forward is primal-solve time, backward is adjoint plus local backward, dense is dense loss evaluation",fresh-process process-lifetime HWM and CUDA allocator peak including comparison plus independent final re-decode,positive_Tutte_decoder_with_independent_iterate_audits,uniform_zero_logits_with_common_fixed_target_boundary,25,256,20260922,0.25,medical_phantom,0.001,ai | NVIDIA RTX A6000 | cuda | float64,74b452c39c39601bf5d1204288307e9a02a2aaa5,611.298547235479,20.29414436631711,63956.29216338156,205.46519723260525,0.00175007715373577,83,36.67501547560096,26.680150967091322,7.55898929387331,0.025843940675258636,0,0.0004402877012293885,0.5072114318162556,0.024048915260125647,True,0.017220799796272418,0.06064239296295514,0.15221072774221192,0.4331407422465329,0.00175007715373577,50,152,66.2550975009799,0.00063449709349179,245,True,100.08332611247897,107.93374068662524,0.018451456,0.01718425750732422,,1.28489472,,
route2_mvc_instance_formal_image_gpu_O4_ai_74b452c_clean.json,T2_candidate,O4_covariance_retraction,image,False,optimized_instance,exact83_missing,optimizer_failure,False,step 18 retraction_decode: ValueError: directed Tutte output does not have strictly positive face areas,not selected: O4 image fails before exact83 despite successful O4 map; reported final state is last_certified_accepted_state_before_failure; no ranking before P1,"cumulative trace components through exact83; forward is primal-solve time, backward is adjoint plus local backward, dense is dense loss evaluation",fresh-process process-lifetime HWM and CUDA allocator peak including comparison plus independent final re-decode,positive_Tutte_decoder_with_independent_iterate_audits,uniform_zero_logits_with_common_fixed_target_boundary,25,256,20260922,0.25,medical_phantom,0.001,ai | NVIDIA RTX A6000 | cuda | float64,74b452c39c39601bf5d1204288307e9a02a2aaa5,611.298547235479,20.29414436631711,63956.29216338156,205.46519723260525,,,,,,,,,,,,,,,,,,,,0.004339071676058662,19,True,7.464916825294495,10.558189742267132,0.027144192,0.025279998779296875,,1.215315968,,
route2_mvc_instance_formal_map_gpu_O1_ai_74b452c_clean.json,T1,O1_sigmoid_positive,map,True,optimized_instance,exact83,success,True,,"selected Route-I baseline; exact83 is primary; final/threshold are supplementary; shared numeric LR is a robustness cohort, not parameterization-fair tuning; no ranking before P1","cumulative trace components through exact83; forward is primal-solve time, backward is adjoint plus local backward, dense is dense loss evaluation",fresh-process process-lifetime HWM and CUDA allocator peak including comparison plus independent final re-decode,positive_Tutte_decoder_with_independent_iterate_audits,uniform_zero_logits_with_common_fixed_target_boundary,25,256,20260922,0.25,medical_phantom,0.001,ai | NVIDIA RTX A6000 | cuda | float64,74b452c39c39601bf5d1204288307e9a02a2aaa5,580.4999867373481,19.303759504911586,60733.680424415004,195.44307560130977,7.00551377538489e-05,83,28.003970813006163,14.806887775659561,10.005911007523537,0.03535051271319389,0,0.00039438008031167024,0.4543258525190441,0.02164402373411308,True,0.012080863626829965,0.03766157563258929,0.1443739813669317,0.39015061916412275,,21,43,14.731362976133823,4.547660719699229e-05,163,True,48.76145977899432,56.403128653764725,0.017342464,0.01615142822265625,,1.258971136,,
route2_mvc_instance_formal_map_gpu_O3_ai_74b452c_clean.json,T2,O3_mvc_adam,map,True,optimized_instance,exact83,success,True,,"selected task-complete MVC method; exact83 is primary; final/threshold are supplementary; shared numeric LR is a robustness cohort, not parameterization-fair tuning; no ranking before P1","cumulative trace components through exact83; forward is primal-solve time, backward is adjoint plus local backward, dense is dense loss evaluation",fresh-process process-lifetime HWM and CUDA allocator peak including comparison plus independent final re-decode,positive_Tutte_decoder_with_independent_iterate_audits,uniform_zero_logits_with_common_fixed_target_boundary,25,256,20260922,0.25,medical_phantom,0.001,ai | NVIDIA RTX A6000 | cuda | float64,74b452c39c39601bf5d1204288307e9a02a2aaa5,580.4999867373481,19.303759504911586,60733.680424415004,195.44307560130977,6.762254618759486e-05,83,30.598571844398975,21.141559150069952,7.156856548041105,0.01231464371085167,0,0.0004009918154573018,0.4619425714068117,0.02164402373411308,True,0.011886971318037442,0.04022155265304049,0.14452194512309186,0.3936888703432123,,18,56,20.888257902115583,3.317258876521703e-05,245,True,83.59282362088561,91.18729624897242,0.01740288,0.01620769500732422,,1.255882752,,
route2_mvc_instance_formal_map_gpu_O4_ai_74b452c_clean.json,T2_candidate,O4_covariance_retraction,map,False,optimized_instance,exact83,success,False,,not selected: O4 image fails before exact83 despite successful O4 map; reported final state is completed_final_state; no ranking before P1,"cumulative trace components through exact83; forward is primal-solve time, backward is adjoint plus local backward, dense is dense loss evaluation",fresh-process process-lifetime HWM and CUDA allocator peak including comparison plus independent final re-decode,positive_Tutte_decoder_with_independent_iterate_audits,uniform_zero_logits_with_common_fixed_target_boundary,25,256,20260922,0.25,medical_phantom,0.001,ai | NVIDIA RTX A6000 | cuda | float64,74b452c39c39601bf5d1204288307e9a02a2aaa5,580.4999867373481,19.303759504911586,60733.680424415004,195.44307560130977,4.807390357418252e-07,83,37.19773383438587,30.979526348412037,0.1677834689617157,0.02085525169968605,0,0.0003856634168438594,0.44428425620412587,0.02164402373411308,True,0.0011817829537730956,0.009176728980605032,0.02583705620783467,0.14719187043485626,,21,23,10.877192743122578,4.807390357418252e-07,83,True,31.681992940604687,38.928046986460686,0.026095616,0.024303436279296875,,1.183842304,,
route3_p1_formal_image_gpu3_35a1878.json,P1,P1_positive_uniform,image,True,optimized_instance,exact83,success,True,,route-specific LR selected on separate seed; exact83 is primary; frozen target-independent projector setup is charged in wrapper wall; exact83 does not serialize maximum map error or minimum signed area,"cumulative through exact83 observation; solver excludes dense/objective, backward excludes the post-observation update",whole-benchmark CUDA peak includes target/query/projector setup and optimization; process HWM also includes runtime and independent dense final audit,positive_symmetric_Tutte_fixed_graph_and_convex_boundary,zero_face_w_hence_mu_zero_then_frozen_projector_target_independent,25,256,20260922,0.25,medical_phantom,0.03,ai | NVIDIA RTX A6000 | cuda | float64,35a1878195d55c3f681fc7ea28b8d3d2b251cb6f,611.298547235479,20.29414436631711,63956.29216338156,205.46519723260525,6.259150166931565e-05,83,17.74347910284996,10.836335431784391,5.769746784120798,0.0059190355241298676,0,,0.5054463324512452,0.024048915260125647,True,0.015286089485376245,,0.15885222870902774,0.44459357215558837,6.259150166931565e-05,9,19,4.283226817846298,2.3736465029645492e-05,163,True,34.92627315223217,39.11295539140701,0.038880768,0.03621053695678711,2304,1.326825472,,
route3_p1_formal_map_gpu3_35a1878.json,P1,P1_positive_uniform,map,True,optimized_instance,exact83,success,True,,route-specific LR selected on separate seed; exact83 is primary; frozen target-independent projector setup is charged in wrapper wall; exact83 does not serialize maximum map error or minimum signed area,"cumulative through exact83 observation; solver excludes dense/objective, backward excludes the post-observation update",whole-benchmark CUDA peak includes target/query/projector setup and optimization; process HWM also includes runtime and independent dense final audit,positive_symmetric_Tutte_fixed_graph_and_convex_boundary,zero_face_w_hence_mu_zero_then_frozen_projector_target_independent,25,256,20260922,0.25,,0.03,ai | NVIDIA RTX A6000 | cuda | float64,35a1878195d55c3f681fc7ea28b8d3d2b251cb6f,580.4999867373481,19.303759504911586,60733.680424415004,195.44307560130977,7.65868296606389e-06,83,17.716048181056976,11.108095470815897,5.467638202011585,0.005829419940710068,0,,0.4709965529508524,0.02164402373411308,True,0.004605230120138025,,0.09918527430055511,0.39627754110209124,,2,5,1.372787430882454,2.6580001636451474e-06,163,True,35.279874343425035,39.29040804505348,0.037832192,0.03523397445678711,2304,1.294782464,,
route3_pref_common_image_cpu_0da8ffa.json,P-ref,P-ref_full_Whitney_teacher,image,True,target_derived_one_shot_reference,one_forward_one_adjoint,success,False,,"same target but target-derived CPU teacher; no optimization or general topology guarantee; timing, solve budget, threshold, and memory are not rank-comparable","one Whitney forward, dense interpolation/task construction, and one diagnostic adjoint; target setup, validation, and finite differences excluded",process-lifetime CPU HWM after primary plus explicitly listed tensor/query state; no CUDA allocation,observed_this_target_only_no_general_guarantee,target_derived_exact_facewise_Beltrami_teacher_no_optimization,25,256,20260922,0.25,medical_phantom,,ai | CPU | cpu | float64,0da8ffa7b0816c7dc6fc541fbabf48c37fe65247,611.298547235479,20.29414436631711,63956.29216338156,205.46519723260525,1.5987359137365195e-29,2,0.1176764965057373,0.006058353930711746,0.09986541047692299,0.010535303503274918,0,0.0004325994631779108,0.49835458158095297,0.024048915260125647,True,7.714127982707807e-16,3.457769959779852e-15,5.993952303089547e-15,3.633090346580768e-14,1.5987359137365195e-29,,,,1.5987359137365195e-29,2,True,0.1176764965057373,0.4613090679049492,,,2304,0.511397888,6.864144,7.708280121026859e-09
route3_pref_common_map_cpu_0da8ffa.json,P-ref,P-ref_full_Whitney_teacher,map,True,target_derived_one_shot_reference,one_forward_one_adjoint,success,False,,"same target but target-derived CPU teacher; no optimization or general topology guarantee; timing, solve budget, threshold, and memory are not rank-comparable","one Whitney forward, dense interpolation/task construction, and one diagnostic adjoint; target setup, validation, and finite differences excluded",process-lifetime CPU HWM after primary plus explicitly listed tensor/query state; no CUDA allocation,observed_this_target_only_no_general_guarantee,target_derived_exact_facewise_Beltrami_teacher_no_optimization,25,256,20260922,0.25,medical_phantom,,ai | CPU | cpu | float64,0da8ffa7b0816c7dc6fc541fbabf48c37fe65247,580.4999867373481,19.303759504911586,60733.680424415004,195.44307560130977,2.0720980749075907e-31,2,0.12466465309262276,0.005474265664815903,0.10473975539207458,0.010445989668369293,0,0.0003893395168601203,0.4485191234228584,0.02164402373411308,True,6.408150982489622e-16,2.648295014812466e-15,5.58168272937955e-15,3.126519989972542e-14,,,,,2.0720980749075907e-31,2,True,0.12466465309262276,0.4684297852218151,,,2304,0.512602112,6.864144,1.0784960953491835e-07
