method,iteration,loss,objective,accepted,backtracks,certified,minimum_signed_area_ratio
mu_lbs_fixed,0,0.2567654574982397,,True,0,True,0.6511655554516984
mu_lbs_fixed,1,0.22227497982038444,,True,0,True,0.5637996355289709
mu_lbs_fixed,2,0.19875800978292885,,True,0,True,0.45180509275235
mu_lbs_fixed,3,0.16754215270219477,,True,0,True,0.3743853221462665
mu_lbs_fixed,4,0.15831503924088164,,True,0,True,0.28727546577931495
mu_lbs_fixed,5,0.1431231812516384,,True,0,True,0.22352538020023233
mu_lbs_fixed,6,0.1320770542885574,,True,0,True,0.17733612579197702
mu_lbs_fixed,7,0.1211258142624105,,True,0,True,0.13414636622420517
mu_lbs_fixed,8,0.11414020480466414,,True,0,True,0.09920799879814324
mu_lbs_fixed,9,0.11379448120134643,,True,0,True,0.08546867352883493
mu_lbs_fixed,10,0.11495283885424244,,True,0,True,0.09263325698074833
mu_lbs_fixed,11,0.11238728930514938,,True,0,True,0.11170432205654307
mu_lbs_fixed,12,0.1130931680973097,,True,0,True,0.12846930111370658
mu_lbs_fixed,13,0.11078505369628998,,True,0,True,0.12237002596864052
mu_lbs_fixed,14,0.10811208250054384,,True,0,True,0.12074583379884382
mu_lbs_fixed,15,0.10690619973076114,,True,0,True,0.11443869226758079
mu_lbs_fixed,16,0.1075368798538861,,True,0,True,0.10529247317677268
mu_lbs_fixed,17,0.10672924839158832,,True,0,True,0.10270486498613239
mu_lbs_fixed,18,0.10357321472120594,,True,0,True,0.10341127104354003
mu_lbs_fixed,19,0.09962207280312049,,True,0,True,0.10188253318182107
mu_lbs_fixed,20,0.08731805840725629,,True,0,True,0.09902623606279905
mu_lbs_fixed,21,0.09541964740082734,,True,0,True,0.10240258286850852
mu_lbs_fixed,22,0.08216112307873615,,True,0,True,0.1075342000901734
mu_lbs_fixed,23,0.08735836581474855,,True,0,True,0.11107207802239454
mu_lbs_fixed,24,0.08580527210285305,,True,0,True,0.11517688056017067
mu_lbs_fixed,25,0.08037452286079075,,True,0,True,0.12305482678739318
mu_lbs_fixed,26,0.08036500578943541,,True,0,True,0.13576414457279098
mu_lbs_fixed,27,0.08095387051147612,,True,0,True,0.13942247264778745
mu_lbs_fixed,28,0.07762617020133451,,True,0,True,0.14980553216862896
mu_lbs_fixed,29,0.07859186758882113,,True,0,True,0.1675760834491689
mu_lbs_fixed,30,0.07995108034765208,,True,0,True,0.1816350165038903
mu_lbs_fixed,31,0.07528378026889739,,True,0,True,0.18009598345105624
mu_lbs_fixed,32,0.07622051559750255,,True,0,True,0.1770235061177655
mu_lbs_fixed,33,0.07755491507914425,,True,0,True,0.17629646008494532
mu_lbs_fixed,34,0.0755309109719597,,True,0,True,0.17694981996565112
mu_lbs_fixed,35,0.07563575114727589,,True,0,True,0.17802171729573632
mu_lbs_fixed,36,0.07600919814778298,,True,0,True,0.17976063542715792
mu_lbs_fixed,37,0.07426073262586277,,True,0,True,0.18270215207247933
mu_lbs_fixed,38,0.0741931644300892,,True,0,True,0.18708736342112903
mu_lbs_fixed,39,0.0751827463052646,,True,0,True,0.1928415074669079
mu_lsqc_free,0,0.25676545749830776,,True,0,True,0.037327693103929395
mu_lsqc_free,1,0.44123168384145867,,True,5,True,0.013360335858287647
mu_lsqc_free,2,0.4408761809136249,,True,0,True,0.041756435292646776
mu_lsqc_free,3,0.41946857014369804,,True,2,True,0.01129866880570123
mu_lsqc_free,4,0.4235509050161802,,True,0,True,0.004085441187333792
mu_lsqc_free,5,0.42891961707484455,,True,1,True,0.009553658328276595
mu_lsqc_free,6,0.4136740892382871,,True,0,True,0.012949554217502279
mu_lsqc_free,7,0.39653088539848197,,True,0,True,0.04128778596818214
mu_lsqc_free,8,0.43290770346629914,,True,0,True,0.07952528508958255
mu_lsqc_free,9,0.41634812880402794,,True,0,True,0.13004740112894037
mu_lsqc_free,10,0.33315841251935036,,True,0,True,0.1124557353730816
mu_lsqc_free,11,0.533895753653945,,True,0,True,0.12419315994686297
mu_lsqc_free,12,0.5444448024728809,,True,0,True,0.13924439458723784
mu_lsqc_free,13,0.48423152975058315,,True,0,True,0.15604560189635971
mu_lsqc_free,14,0.35216974267275514,,True,0,True,0.1096337688176057
mu_lsqc_free,15,0.3792969049811229,,True,0,True,0.0756469453677226
mu_lsqc_free,16,0.42348519206542495,,True,0,True,0.061037737395647
mu_lsqc_free,17,0.4252541650977793,,True,0,True,0.048913599295123726
mu_lsqc_free,18,0.41101613455468244,,True,0,True,0.041017140009423886
mu_lsqc_free,19,0.41881561055681343,,True,0,True,0.037353626103342974
mu_lsqc_free,20,0.4150654512724264,,True,0,True,0.036720685340026954
mu_lsqc_free,21,0.3979670912172933,,True,0,True,0.03762129520892749
mu_lsqc_free,22,0.38079024316790977,,True,0,True,0.039470294612054
mu_lsqc_free,23,0.3557698802310161,,True,0,True,0.04075594910278824
mu_lsqc_free,24,0.352255551083669,,True,0,True,0.038816953069558596
mu_lsqc_free,25,0.334627215962597,,True,0,True,0.03454858528753397
mu_lsqc_free,26,0.3124131068843187,,True,0,True,0.03282938114431974
mu_lsqc_free,27,0.3150941359123704,,True,0,True,0.03500831050723071
mu_lsqc_free,28,0.2938854584172704,,True,0,True,0.0390454872608361
