source_receipt,research_question,task,N,control_vertex_count,face_count,resolution,image,optimizer,steps,lr,threshold,seed,target_strength,host,device,dtype,commit,backend,backend_class,status,failure_type,failure_message,reason,target_identity_check,target_summary_group_size,target_setup_seconds,target_setup_primal_solves,run_target_setup_seconds,run_target_setup_solves,initial_objective,final_objective,best_objective,primal_solves,adjoint_solves,global_solves,evaluations_to_threshold,global_solves_to_threshold,wall_seconds_to_threshold,wall_seconds,wrapper_wall_seconds,trace_available,trace_evaluations,forward_seconds_total,backward_seconds_total,optimizer_seconds_total,audit_seconds_total,timed_components_seconds_total,rss_before_bytes,rss_after_bytes,process_hwm_bytes,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,gpu_baseline_allocated_bytes,gpu_baseline_reserved_bytes,all_iterates_certified,trace_all_certified,trace_max_flip_count,trace_minimum_area_ratio,inverse_consistency,threshold_semantics,solver_settings,warp_convention,memory_semantics,final_flip_count,final_minimum_signed_area,final_minimum_area_ratio,final_boundary_order_min_gap,final_global_injectivity_certificate,final_map_rmse,final_maximum_map_error,final_mu_rmse,final_maximum_mu_error,target_flip_count,target_minimum_signed_area,target_minimum_area_ratio,target_boundary_order_min_gap,target_global_injectivity_certificate,target_map_rmse,target_maximum_map_error,target_mu_rmse,target_maximum_mu_error,target_control_shape,target_dense_shape,target_control_sum,target_dense_sum,target_control_l2,target_dense_l2
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_lbfgs_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,medical_phantom,lbfgs,5,0.8,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,5,0.19139203429222107,1,0.0,0,0.010225502774119377,0.00033135907142423093,0.00033135907142423093,31,30,61,15,29,8.098307203501463,15.305705901235342,15.77069740369916,True,31,8.33354590460658,6.11212994530797,0.09672064334154129,0.762800894677639,15.305197387933731,581967872,1243910144,1243910144,24565248,48234496,0,0,True,True,0,0.7692180739806034,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0006747304046546544,0.7772894261621616,0.040840983390808105,True,0.02435994651006631,0.08390190911452883,0.15788990598561023,0.4244976566430504,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_medical_lbfgs_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,medical_phantom,lbfgs,5,0.8,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,5,0.19139203429222107,1,0.0,0,0.010210670530796051,0.00027396311634220183,0.0002739610499702394,32,31,63,17,33,3.9169138073921204,7.513302605599165,7.6034730561077595,True,32,5.097983103245497,1.5709617175161839,0.051365070044994354,0.7926043346524239,7.512914225459099,1243910144,1249787904,1256472576,24388608,48234496,8519680,20971520,True,True,0,0.3229209381442076,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0005728590183116112,0.6599335890949773,0.032614707946777344,True,0.031101082672036495,0.12042499792735689,0.17607859309238824,0.4927937971197722,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_smooth_blobs_adam_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,smooth_blobs,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,5,0.2321823537349701,1,0.0,0,0.0035615318920463324,0.00029189238557592034,0.00013530146679840982,41,40,81,17,33,9.431827694177628,22.824339408427477,23.3561939150095,True,41,11.533469673246145,10.093524791300297,0.0854807011783123,1.0969859696924686,22.809461135417223,582078464,1294282752,1294282752,15698432,27262976,0,0,True,True,0,0.48762839328122703,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.00046289912279301416,0.5332597894575528,0.02922874689102173,True,0.021405188786172064,0.06539734912078493,0.16137341676280448,0.4340186533457073,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_smooth_blobs_adam_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,smooth_blobs,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,5,0.2321823537349701,1,0.0,0,0.0035514491610229015,5.9164438425796106e-05,4.465893653105013e-05,41,40,81,3,5,0.7033971399068832,10.465011816471815,10.554314117878675,True,41,7.309971418231726,2.0432782620191574,0.0226680226624012,1.0791339613497257,10.45505166426301,1294282752,1312903168,1312903168,15660544,27262976,0,0,True,True,0,0.6377812768707841,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0005536295806169991,0.6377812768707841,0.03092360496520996,True,0.020378214048321467,0.0713545597307362,0.15883238905993652,0.449407319369112,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_textured_adam_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,textured,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,5,0.30688197910785675,1,0.0,0,0.014531033113598824,0.0007391631370410323,0.0004467256076168269,41,40,81,24,47,12.763999935239553,21.014546144753695,21.51779681071639,True,41,11.327573891729116,8.613622725009918,0.07354981079697609,0.9882699772715569,21.003016404807568,580771840,1262100480,1262100480,15698432,27262976,0,0,True,True,0,0.4702162165532462,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0005521870503564791,0.6361194820106645,0.03229027986526489,True,0.010060641274300073,0.04040211271495021,0.13553056163811353,0.5241489167208542,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_image_textured_adam_n25_256_gpu.json,I2 image registration,image_registration,25,625,1152,256,textured,adam,40,0.03,0.001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,5,0.30688197910785675,1,0.0,0,0.014510981738567352,0.00024552427930757403,0.00024356399080716074,41,40,81,15,29,3.513855256140232,10.016619972884655,10.106591153889894,True,41,6.58504020050168,2.4220260307192802,0.01701275259256363,0.9853474572300911,10.009426441043615,1262100480,1281335296,1281335296,15660544,27262976,0,0,True,True,0,0.5784966889895032,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0005389322341118339,0.6208499336968333,0.03510236740112305,True,0.007834856898544657,0.026331844740370425,0.12711775274245338,0.4378234896267794,0,0.0004325994631779109,0.49835458158095314,0.024048915260125647,True,,,,,"[625, 2]","[256, 256, 2]",611.298547235479,63956.29216338156,20.29414436631711,205.46519723260525
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_adam_n17_256_gpu.json,I1 supervised fitting,supervised_map,17,289,512,256,,adam,40,0.03,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,2,0.09972736239433289,1,0.0,0,0.0017438540235161781,2.4293327442137524e-05,2.1230827769613825e-05,41,40,81,19,37,5.541822876781225,11.677965611219406,11.991855166852474,True,41,6.632711265236139,4.5142184458673,0.06116901710629463,0.46174947544932365,11.669848203659058,581603328,1240707072,1240707072,14560768,27262976,0,0,True,True,0,0.5792020674633421,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0011995383362712886,0.6141636281708998,0.04875725507736206,True,0.008595406870366336,0.027452410449335773,0.1137705708448152,0.3350137804230231,0,0.0009982340389942377,0.5110958279650497,0.0354710335639567,True,,,,,"[289, 2]","[256, 256, 2]",276.17041485521816,62656.19197408087,13.474481253687232,200.120592750437
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_adam_n17_256_gpu.json,I1 supervised fitting,supervised_map,17,289,512,256,,adam,40,0.03,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,2,0.09972736239433289,1,0.0,0,0.0017434756737202406,1.791877548384946e-05,1.791877548384946e-05,41,40,81,14,27,1.7194605357944965,5.050380069762468,5.1045807003974915,True,41,3.358492985367775,1.2100654393434525,0.016984310001134872,0.4579491950571537,5.043491929769516,1240707072,1258160128,1258160128,14543872,27262976,0,0,True,True,0,0.5925777346419636,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0012071350552815832,0.6180531483041706,0.044557034969329834,True,0.00749341210677048,0.029226167553088822,0.09885182124942414,0.2742844572402038,0,0.0009982340389942377,0.5110958279650497,0.0354710335639567,True,,,,,"[289, 2]","[256, 256, 2]",276.17041485521816,62656.19197408087,13.474481253687232,200.120592750437
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_adam_n25_256_gpu.json,I1 supervised fitting,supervised_map,25,625,1152,256,,adam,40,0.03,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,2,0.2210383526980877,1,0.0,0,0.002818965818732977,4.5673899876419455e-05,3.1553507142234594e-05,41,40,81,28,55,17.431151032447815,24.44076621159911,24.786316607147455,True,41,11.6244842633605,11.702515095472336,0.07375418394804001,1.0287802517414093,24.429533794522285,581292032,1225859072,1225859072,14651904,27262976,0,0,True,True,0,0.37156464319691823,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0005011913641639334,0.577372451516851,0.03073960542678833,True,0.010306943786735455,0.03384041826868872,0.1384966020436134,0.5788806529405179,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[256, 256, 2]",580.4999867373481,60733.680424415004,19.303759504911586,195.44307560130977
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_adam_n25_256_gpu.json,I1 supervised fitting,supervised_map,25,625,1152,256,,adam,40,0.03,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,2,0.2210383526980877,1,0.0,0,0.0028167555574327707,2.4093907995847985e-05,2.3211976440506987e-05,41,40,81,17,33,4.0433283150196075,10.205718073993921,10.29175279289484,True,41,6.791930083185434,2.36224901676178,0.017897862941026688,1.0262457951903343,10.198322758078575,1225859072,1244512256,1244512256,14614016,27262976,0,0,True,True,0,0.5648253422125419,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0005607861205132468,0.6460256108312606,0.02763998508453369,True,0.007858861413478854,0.030077130009182496,0.12366819260611428,0.42906091021610315,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[256, 256, 2]",580.4999867373481,60733.680424415004,19.303759504911586,195.44307560130977
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_adam_n25_512_gpu.json,I1 supervised fitting,supervised_map,25,625,1152,512,,adam,40,0.03,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,1,0.28377315774559975,1,0.0,0,0.002821550238877535,4.5775712351314723e-05,3.1716699595563114e-05,41,40,81,28,55,15.348310071974993,21.880101189017296,22.309201799333096,True,41,11.11300478503108,9.634131655097008,0.08712680637836456,1.0287831276655197,21.863046374171972,586461184,1243983872,1243983872,59110912,79691776,0,0,True,True,0,0.37160365956196895,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0005010811844188836,0.5772455244505537,0.030769705772399902,True,0.01032575986359064,0.03421425860071997,0.13868666013350714,0.5797246984905582,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[512, 512, 2]",580.4999867373481,242904.33400091628,19.303759504911586,390.6510611993895
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_adam_n25_512_gpu.json,I1 supervised fitting,supervised_map,25,625,1152,512,,adam,40,0.03,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,1,0.28377315774559975,1,0.0,0,0.0028193313628435135,2.3979055185918696e-05,2.308957846253179e-05,41,40,81,17,33,3.9990271776914597,9.933935217559338,10.108492981642485,True,41,6.752643868327141,2.130728282034397,0.02684555947780609,1.0118644759058952,9.92208218574524,1243983872,1260208128,1289437184,59073024,79691776,0,0,True,True,0,0.5645972048530421,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0005607337087383267,0.6459652324665527,0.027608156204223633,True,0.007855520314050698,0.030129492689617676,0.12376003069844842,0.4295137637867568,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[512, 512, 2]",580.4999867373481,242904.33400091628,19.303759504911586,390.6510611993895
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n17_256_gpu.json,I1 supervised fitting,supervised_map,17,289,512,256,,lbfgs,5,0.8,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,2,0.17130446806550026,1,0.0,0,0.0017438540235161781,4.1109447920462117e-05,4.1109447920462117e-05,31,30,61,14,27,4.36015834659338,8.948813796043396,9.266223046928644,True,31,4.951514165848494,3.5760055631399155,0.08018007501959801,0.34049154818058014,8.948191352188587,579735552,1203732480,1203732480,23261184,48234496,0,0,True,True,0,0.6915219810143753,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0013524577380614744,0.6924583618874749,0.04847532510757446,True,0.010842293234039874,0.030213789309080696,0.13000253798402092,0.37902729836420634,0,0.0009982340389942377,0.5110958279650497,0.0354710335639567,True,,,,,"[289, 2]","[256, 256, 2]",276.17041485521816,62656.19197408087,13.474481253687232,200.120592750437
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n17_256_gpu.json,I1 supervised fitting,supervised_map,17,289,512,256,,lbfgs,5,0.8,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,2,0.17130446806550026,1,0.0,0,0.0017434759065508842,7.014595757937059e-05,7.014595030341297e-05,32,31,63,26,51,3.049220636487007,3.7580327168107033,3.8144577853381634,True,32,2.487498801201582,0.8756683804094791,0.045722540467977524,0.3488094434142113,3.75769916549325,1203732480,1204916224,1214750720,23175168,48234496,8519680,20971520,True,True,0,0.5368377396571304,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.0010697865107971438,0.5477306935281376,0.038208067417144775,True,0.013601196789511416,0.03583250796141402,0.14160535270083224,0.3629432859375594,0,0.0009982340389942377,0.5110958279650497,0.0354710335639567,True,,,,,"[289, 2]","[256, 256, 2]",276.17041485521816,62656.19197408087,13.474481253687232,200.120592750437
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n25_256_gpu.json,I1 supervised fitting,supervised_map,25,625,1152,256,,lbfgs,5,0.8,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,directed_iterative,MatrixFreeDirectedTutteLayer,success,,,,matched,2,0.2025623433291912,1,0.0,0,0.002818965818732977,3.86782267014496e-05,3.86782267014496e-05,31,30,61,18,35,8.66888390854001,14.872291650623083,15.21677751839161,True,31,8.622925259172916,5.325831186026335,0.11280526220798492,0.8098792098462582,14.871440917253494,581263360,1202245632,1202245632,23518208,48234496,0,0,True,True,0,0.6979940578549204,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":500,""relative_tolerance"":1e-05,""variant"":""unpreconditioned BiCGStab; explicit true residual each iteration""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.000605897619665729,0.6979940578549204,0.030521392822265625,True,0.009683209583200642,0.025551591662617484,0.14462348452726123,0.406523732677327,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[256, 256, 2]",580.4999867373481,60733.680424415004,19.303759504911586,195.44307560130977
D:\QC_optimization\.worktrees\phase5-tutte-mvc-primal-dual\docs\research_phase5\raw_results\formal_map_lbfgs_n25_256_gpu.json,I1 supervised fitting,supervised_map,25,625,1152,256,,lbfgs,5,0.8,0.0001,20260922,0.25,ai,cuda,float32,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,symmetric,MatrixFreeSymmetricTutteLayer,success,,,,matched,2,0.2025623433291912,1,0.0,0,0.0028167557902634144,0.00020152964862063527,0.00020152964862063527,31,30,61,,,,7.446954734623432,7.535786222666502,True,31,5.127444870769978,1.4599347189068794,0.05608012527227402,0.8031301572918892,7.44658987224102,1202245632,1207857152,1215066112,23326208,48234496,8519680,20971520,True,True,0,0.587292882746604,,first independently audited evaluation; LBFGS trials included,"{""absolute_tolerance"":0.0,""internal_arithmetic"":""float32"",""max_iterations"":1000,""relative_tolerance"":1e-05,""variant"":""unpreconditioned CG; candidate/periodic true-residual replacement""}",fixed-to-moving backward coordinates; no inverse is computed,RSS snapshots; HWM process lifetime; GPU allocator peaks include per-run setup; shared target setup is excluded,0,0.000509802849606427,0.587292882746604,0.02774445153772831,True,0.02121394517078167,0.056210840547374366,0.16842228575378995,0.41188121725172694,0,0.00038933951686011964,0.4485191234228576,0.02164402373411308,True,,,,,"[625, 2]","[256, 256, 2]",580.4999867373481,60733.680424415004,19.303759504911586,195.44307560130977
