control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
25,1,1,1024,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,223262720,243269632,1155174400,3.972359610082124,True,0.19741221517324448,0.05424933508038521,0.25173954479396343,9.822578286057768e-06,0,0.0006598746031646363,True,unspecified,0,60,9.815834346227348e-06,unspecified,0,59,5.917371709074359e-06,,2,2
25,1,4,1024,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,439811584,530579456,1373466624,1.1820808143774584,True,0.6523453202098608,0.19355163536965847,0.8459658492356539,9.822366566100428e-06,0,0.0005102467969688725,True,unspecified,0,60,9.83507743512746e-06,unspecified,0,59,6.372677489707712e-06,,8,8
49,1,1,1024,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,223585792,243269632,1167757312,1.369788899042137,True,0.608601862564683,0.12135551683604717,0.7300394978374243,9.483981003255184e-06,0,0.00013689829726826146,True,unspecified,0,143,9.48049364524195e-06,unspecified,0,160,9.740018867887557e-06,,2,2
49,1,4,1024,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,441046528,532676608,1381691392,0.35906689628030597,True,2.2399488873779774,0.5449691992253065,2.784996362403035,9.983461574408316e-06,0,0.0001346183396222505,True,unspecified,0,144,9.989846148528159e-06,unspecified,0,161,9.921289347403217e-06,,8,8
