control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
11,8,1,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,29766144,35651584,1091305472,25.793480901793803,True,0.23058743216097355,0.07949032448232174,0.3101558890193701,9.425649009854446e-06,0,0.003238913634383776,True,bicgstab,0,17,9.461919944442343e-06,bicgstab,0,17,9.951919309969526e-06,,16,16
11,8,1,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,114595328,174063616,1099964416,27.011271244691688,True,0.21733064018189907,0.07872826419770718,0.29617265798151493,9.425649009854446e-06,0,0.003238913634383776,True,bicgstab,0,17,9.461919944442343e-06,bicgstab,0,18,9.535120625514537e-06,,16,16
11,8,2,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,131488256,169869312,1132986368,13.416855732012587,True,0.44215536303818226,0.15403548441827297,0.5962648894637823,9.96802936491438e-06,0,0.002850909781979993,True,bicgstab,0,18,9.98223913484253e-06,bicgstab,0,20,9.699183465272654e-06,,32,32
11,8,2,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,524442112,744488960,1157619712,13.06246651348864,True,0.44685837998986244,0.1654670052230358,0.612441761419177,9.96802936491438e-06,0,0.002850909781979993,True,bicgstab,0,18,9.98223913484253e-06,bicgstab,0,22,9.624388439988252e-06,,32,32
11,8,4,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,203994624,251658240,1138135040,6.614505285940141,True,0.8783811964094639,0.33100144006311893,1.2094630897045135,9.96802936491438e-06,0,0.0027520429675487175,True,bicgstab,0,18,9.98223913484253e-06,bicgstab,0,20,9.97094866761472e-06,,64,64
11,8,4,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,814003712,1096810496,1184034816,6.462464109653627,True,0.9129025898873806,0.3248987179249525,1.2379179000854492,9.96802936491438e-06,0,0.0027520429675487175,True,bicgstab,0,18,9.98223913484253e-06,bicgstab,0,21,9.914169822877739e-06,,64,64
17,1,1,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,14021632,25165824,1092616192,3.9504036119932775,True,0.15277522429823875,0.1002975832670927,0.2531386911869049,9.003469161172575e-06,0,0.0013707539729903573,True,bicgstab,0,25,9.012888767756522e-06,bicgstab,0,25,9.285905434808228e-06,,2,2
17,1,1,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,55859200,65011712,1100673024,3.778002588969217,True,0.15109512209892273,0.11352293938398361,0.2646901309490204,9.003469161172575e-06,0,0.0013707539729903573,True,bicgstab,0,25,9.012888767756522e-06,bicgstab,0,27,9.26843404158717e-06,,2,2
17,1,2,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,18549248,31457280,1149206528,1.9285113096200017,True,0.30330900847911835,0.21515891514718533,0.5185346826910973,9.003469161172575e-06,0,0.001111563957996442,True,bicgstab,0,26,9.012888767756522e-06,bicgstab,0,28,9.023734492075164e-06,,4,4
17,1,2,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,74844672,92274688,1163350016,1.9226111351917068,True,0.2995198015123606,0.220535296946764,0.5201259795576334,9.003469161172575e-06,0,0.001111563957996442,True,bicgstab,0,26,9.012888767756522e-06,bicgstab,0,27,9.380715709994547e-06,,4,4
17,1,4,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,27727360,33554432,1166430208,0.9762697764622231,True,0.5904989931732416,0.4337344281375408,1.0243070349097252,9.003469161172575e-06,0,0.001111563957996442,True,bicgstab,0,26,9.012888767756522e-06,bicgstab,0,32,9.639834388508461e-06,,8,8
17,1,4,512,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,112203264,134217728,1207332864,0.832245190652304,True,0.7630345392972231,0.43842114321887493,1.2015689741820097,9.003469161172575e-06,0,0.001111563957996442,True,bicgstab,0,26,9.012888767756522e-06,bicgstab,0,27,9.745236638991628e-06,,8,8
17,4,1,256,directed_iterative,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,02019feb41dea28a0bf3328ecd2ff07c0b8cfdb0,,20371456,23068672,1092571136,7.3643330621272005,True,0.31910044699907303,0.22398548014461994,0.5431584864854813,9.312908272390995e-06,0,0.000994869995967207,True,bicgstab,0,28,9.31732665776508e-06,bicgstab,0,34,9.865849278867245e-06,,8,8
