kind,name,control,seed,strength,resolution,status,eligible_ground_truth,continuous_determinant_lower_bound,independent_minimum_signed_area,independent_minimum_area_ratio,flip_count,global_injectivity_certificate,mu_p95,mu_max,supported_probability_min,supported_probability_max,unit_square_sampling_compatible,image_min,image_max,identity_max_error,positive_x_shift_max_error,pair_bilinear_oracle_max_error,sampling_tolerance,error
analytic,affine_anisotropic,11,,,,ok,True,0.9429999999999998,0.004714999999999993,0.942999999999999,0,True,0.16751269035533017,0.16751269035533017,,,False,,,,,,,
analytic,shear,11,,,,ok,True,1.0,0.004999999999999992,0.9999999999999988,0,True,0.12403473458920868,0.1240347345892092,,,False,,,,,,,
analytic,rotation_stretch,11,,,,ok,True,0.9774999999999999,0.004887499999999981,0.9774999999999967,0,True,0.1500000000000008,0.15000000000000147,,,False,,,,,,,
analytic,twist,11,,,,ok,True,1.0,0.004691373123724939,0.9382746247449876,0,True,0.2109131553672823,0.26242511844188465,,,False,,,,,,,
analytic,sinusoidal_shear,11,,,,ok,True,1.0,0.004999999999999992,0.999999999999999,0,True,0.22887328482147154,0.22887328482147165,,,False,,,,,,,
analytic,local_compression,11,,,,ok,True,0.5625,0.002964414502455014,0.5928829004910023,0,True,0.10156738432654512,0.10466157480929775,,,True,,,,,,,
analytic,local_expansion,11,,,,ok,True,0.888434919925785,0.004553490191911857,0.9106980383823716,0,True,0.09683346268574546,0.10205492880789398,,,False,,,,,,,
analytic,boundary_sliding,11,,,,ok,True,0.6230088815692248,0.0032366442431225793,0.647328848624516,0,True,0.2140866722937298,0.2140866722937298,,,True,,,,,,,
positive_tutte,directed_random,11,1701,0.25,,ok,True,,0.00258440064528259,0.5168801290565181,0,True,0.25343154446364463,0.39098883208864277,0.08134053458203756,0.2990470323110684,True,,,,,,,
positive_tutte,directed_random,11,1702,0.25,,ok,True,,0.002230601080389089,0.4461202160778175,0,True,0.29407475810209355,0.36149601664330394,0.07486354470222474,0.30335677557491714,True,,,,,,,
positive_tutte,directed_random,11,1703,0.25,,ok,True,,0.0021533645430027257,0.4306729086005452,0,True,0.24441204998372723,0.39366979997868,0.08215678771234576,0.4012326095602533,True,,,,,,,
positive_tutte,directed_random,11,1701,1.0,,ok,True,,0.00010853038581791159,0.021706077163582322,0,True,0.8424071111400159,0.9636362017121732,0.006075406016112901,0.7726880095862241,True,,,,,,,
positive_tutte,directed_random,11,1702,1.0,,ok,True,,0.00013223287284021016,0.026446574568042013,0,True,0.844752680878582,0.9316669220730424,0.004808973034128977,0.7961343585504385,True,,,,,,,
positive_tutte,directed_random,11,1703,1.0,,ok,True,,8.132173378054405e-05,0.016264346756108813,0,True,0.810699674673063,0.9493415873357387,0.0030426573689349866,0.95941241126104,True,,,,,,,
positive_tutte,directed_random,11,1701,3.0,,ok,True,,4.1441906837562045e-10,8.28838136751241e-08,0,True,0.9994345391999406,0.9999899134590585,1.8381475945638039e-06,0.9977414321517832,True,,,,,,,
positive_tutte,directed_random,11,1702,3.0,,ok,True,,4.030858121931457e-09,8.06171624386291e-07,0,True,0.9991790415113666,0.9999975543538103,1.4575070296570193e-06,0.9988092075368561,True,,,,,,,
positive_tutte,directed_random,11,1703,3.0,,ok,True,,1.0324331344331378e-09,2.064866268866276e-07,0,True,0.9987945008261431,0.9999885996869586,3.1896378880831174e-08,0.9999959237920281,True,,,,,,,
analytic,affine_anisotropic,17,,,,ok,True,0.9429999999999998,0.0018417968749999945,0.9429999999999972,0,True,0.16751269035533084,0.16751269035533173,,,False,,,,,,,
analytic,shear,17,,,,ok,True,1.0,0.001953125,1.0,0,True,0.12403473458920845,0.12403473458920845,,,False,,,,,,,
