control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
17,1,1,256,directed_iterative,float32,cuda,0,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14021632,25165824,1102262272,1.6812459959813757,True,0.3393566347658634,0.24769312143325806,0.5947969555854797,6.552197820118324e-06,0,0.0004669927143474695,True,bicgstab,0,24,6.5578137764532585e-06,bicgstab,0,37,6.367759397107875e-06,,1,1
17,1,1,256,directed_iterative,float32,cuda,0,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14021632,25165824,1114525696,1.8776798853585817,True,0.3507891446352005,0.17409471422433853,0.5325721427798271,9.454744065994808e-06,0,0.00025730256311362604,True,bicgstab,0,24,9.446337571716867e-06,bicgstab,0,27,9.639805284678005e-06,,1,1
17,1,1,256,directed_iterative,float32,cuda,0,1,1703,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14021632,25165824,1096327168,1.7316794546946888,True,0.3494038060307503,0.22011937946081161,0.5774740800261497,9.281538820721281e-06,0,0.00026853917889568807,True,bicgstab,0,25,9.280277481593657e-06,bicgstab,0,27,9.790070180315524e-06,,1,1
17,1,4,256,directed_iterative,float32,cuda,0,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,27727360,33554432,1159925760,0.7549865994782095,True,0.8081829957664013,0.5085043422877789,1.324526820331812,9.281538820721281e-06,0,0.00026853917889568807,True,bicgstab,0,25,9.280277481593657e-06,bicgstab,0,27,9.49753029999556e-06,,4,4
17,1,4,256,directed_iterative,float32,cuda,0,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,27727360,33554432,1139007488,0.7581536777986979,True,0.7754162214696407,0.5358097963035107,1.3189937993884087,9.943992962900215e-06,0,0.00025730256311362604,True,bicgstab,0,24,9.946411410055589e-06,bicgstab,0,34,9.878463060886133e-06,,4,4
17,1,4,256,directed_iterative,float32,cuda,0,1,1703,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,27727360,33554432,1139793920,0.713833392194206,True,0.8456499613821507,0.5474399887025356,1.4008871130645275,9.281538820721281e-06,0,0.00026853917889568807,True,bicgstab,0,25,9.280277481593657e-06,bicgstab,0,34,9.36439391807653e-06,,4,4
17,4,1,256,directed_iterative,float32,cuda,0,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,20371456,23068672,1090527232,5.640026337587144,True,0.48565883934497833,0.21590553224086761,0.709216546267271,9.876225813489777e-06,0,0.00015802847400081527,True,bicgstab,0,26,9.867459084489383e-06,bicgstab,0,29,9.586419764673337e-06,,4,4
17,4,1,256,directed_iterative,float32,cuda,0,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,20371456,23068672,1090592768,5.176270522562408,True,0.5142520256340504,0.2506808862090111,0.772757139056921,9.222611574918853e-06,0,0.0002572852008597692,True,bicgstab,0,28,9.198594852932729e-06,bicgstab,0,41,9.572459930495825e-06,,4,4
17,4,1,256,directed_iterative,float32,cuda,0,1,1703,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,20371456,23068672,1090527232,5.534841597013989,True,0.48941726237535477,0.2255586013197899,0.7226945757865906,9.542327580257146e-06,0,0.0001725327900601315,True,bicgstab,0,24,9.562657396600116e-06,bicgstab,0,29,9.81212633632822e-06,,4,4
17,4,4,256,directed_iterative,float32,cuda,0,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,105854464,113246208,1138909184,1.946171708726795,True,1.4184149242937565,0.6290938295423985,2.0553171038627625,9.876225813489777e-06,0,0.00015802847400081527,True,bicgstab,0,27,9.867459084489383e-06,bicgstab,0,48,9.92898549156962e-06,,16,16
17,4,4,256,directed_iterative,float32,cuda,0,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,105854464,113246208,1138450432,1.9386096830758603,True,1.4172281362116337,0.6382090225815773,2.0633343756198883,9.3651717842018e-06,0,0.0001940778791862386,True,bicgstab,0,29,9.36088508751709e-06,bicgstab,0,35,9.783398127183318e-06,,16,16
17,4,4,256,directed_iterative,float32,cuda,0,1,1703,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,105854464,113246208,1140097024,1.933450666907178,True,1.4120396748185158,0.6489207185804844,2.0688399598002434,9.64393992585648e-06,0,0.0001725327900601315,True,bicgstab,0,27,9.647957995184697e-06,bicgstab,0,41,9.95253230939852e-06,,16,16
25,1,1,256,directed_iterative,float32,cuda,0,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14098432,25165824,1099022336,1.1336790259790637,True,0.449582003057003,0.42473626136779785,0.882083885371685,9.100625453214496e-06,0,0.00025685220987137187,True,bicgstab,0,37,9.116312867263332e-06,bicgstab,0,84,9.539794518786948e-06,,1,1
25,1,1,256,directed_iterative,float32,cuda,0,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14098432,25165824,1115201536,1.1804562338288906,True,0.4693782366812229,0.3700086735188961,0.8471300937235355,9.544916956904963e-06,0,0.00013339019318170408,True,bicgstab,0,40,9.54997358348919e-06,bicgstab,0,68,9.386331839777995e-06,,1,1
25,1,1,256,directed_iterative,float32,cuda,0,1,1703,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14098432,25165824,1115938816,0.8107906451104984,True,0.4970760904252529,0.7283683568239212,1.2333640083670616,6.951043113293576e-06,0,0.00016088920371162883,True,bicgstab,0,37,6.95814696882735e-06,stationary_fallback,1,1026,9.998936548072379e-06,BiCGStab breakdown: nonfinite dot-product scale,1,1
25,1,4,256,directed_iterative,float32,cuda,0,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,28024320,35651584,1142263808,0.41512923304364624,True,1.290227498859167,1.109983041882515,2.408888414502144,9.100625453214496e-06,0,0.00013745113621799185,True,bicgstab,0,41,9.116312867263332e-06,bicgstab,0,84,9.988032616092823e-06,,4,4
25,1,4,256,directed_iterative,float32,cuda,0,1,1702,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,28024320,35651584,1165254656,0.18254387332044808,True,1.2720190547406673,4.198544342070818,5.478135101497173,9.760749281079956e-06,0,0.00013339019318170408,True,bicgstab,0,40,9.75548755377531e-06,bicgstab|stationary_fallback,1,1137,9.986925761040766e-06,BiCGStab did not converge within 500 iterations,4,4
25,1,4,256,directed_iterative,float32,cuda,0,1,1703,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,28024320,35651584,1144291328,0.354324093083724,True,1.5853210464119911,1.2292816415429115,2.8222749158740044,9.195220914888763e-06,0,0.000136847459177858,True,bicgstab,0,41,9.206019058183301e-06,bicgstab,0,132,9.92607692751335e-06,,4,4
25,4,1,256,directed_iterative,float32,cuda,0,1,1701,0.5,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,20517888,23068672,1093808128,1.417238289032604,True,0.9376986399292946,1.8771306872367859,2.8223905824124813,9.956035821667236e-06,0,0.00011878749124039079,True,bicgstab,0,41,9.966945981432218e-06,bicgstab,0,454,9.647294064052403e-06,,4,4
