control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems,run_index,git_dirty,physical_gpu
11,8,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,29759488,35651584,1100386304,39.21463468806182,True,0.1720466259866953,0.031894948333501816,0.20400547049939632,9.34307402862791e-06,0,0.0034072400632738672,True,unspecified,0,22,9.345924809167627e-06,unspecified,0,21,6.498872608062811e-06,,16,16,13,False,6
11,8,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,114588672,174063616,1109417984,40.40321621833383,True,0.17107306979596615,0.02682693675160408,0.19800403900444508,9.41165477737721e-06,0,0.003407239786419994,True,unspecified,0,22,9.419430170964915e-06,unspecified,0,21,6.736241175531177e-06,,16,16,14,False,6
11,8,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,131474944,169869312,1128361984,19.240017189551974,True,0.3554490227252245,0.06028883345425129,0.41580004431307316,9.457024977317438e-06,0,0.0029179669962005046,True,unspecified,0,22,9.476207196712494e-06,unspecified,0,21,7.266248303494649e-06,,32,32,15,False,6
11,8,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,524428800,744488960,1154469888,19.917527157152207,True,0.3554754815995693,0.046075211837887764,0.401656286790967,9.432556605430778e-06,0,0.0029179669962005046,True,unspecified,0,22,9.450050129089504e-06,unspecified,0,21,7.107320470822742e-06,,32,32,16,False,6
11,8,4,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,203968000,251658240,1136427008,10.332075472751141,True,0.6942818071693182,0.07993525639176369,0.7742878012359142,9.901657890910908e-06,0,0.0027442398465578072,True,unspecified,0,22,9.880313882604241e-06,unspecified,0,21,7.206769623735454e-06,,64,64,17,False,6
11,8,4,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,813977088,1096810496,1180893184,10.156334360660091,True,0.6915727946907282,0.09600652940571308,0.7876857649534941,9.880278737178197e-06,0,0.0027442400719994726,True,unspecified,0,22,9.86371287581278e-06,unspecified,0,21,7.203947006928502e-06,,64,64,18,False,6
17,1,1,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,14009856,25165824,1104781312,8.115287157361843,True,0.08574006520211697,0.03741997480392456,0.12322422862052917,6.9972629300907536e-06,0,0.0014769654099300311,True,unspecified,0,35,6.992234830249799e-06,unspecified,0,35,6.928192306077108e-06,,2,2,19,False,6
17,1,1,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,55847424,65011712,1117216768,8.075882570756628,True,0.07788057439029217,0.045881129801273346,0.12382547557353973,7.0284498735077e-06,0,0.0014769654099300311,True,unspecified,0,35,7.023169473541202e-06,unspecified,0,35,6.8578319769585505e-06,,2,2,20,False,6
17,1,2,256,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,18525696,31457280,1133318144,4.547179441142966,True,0.15732994116842747,0.06252841278910637,0.2199165467172861,9.004699884077002e-06,0,0.001186209426524698,True,unspecified,0,35,8.998543307825457e-06,unspecified,0,35,7.281083526322618e-06,,4,4,21,False,6
17,1,2,512,symmetric,float32,cuda,1,2,1701,0.15,1,ok,complete,ai,e688abc31fe5cde13a686d6f10b81a1232a8e878,,74821120,92274688,1194467328,4.586117987006599,True,0.15892601013183594,0.059065110981464386,0.2180493399500847,9.030548127026213e-06,0,0.001186209426524698,True,unspecified,0,35,9.025417966768146e-06,unspecified,0,35,7.370974799414398e-06,,4,4,22,False,6
