control,batch,layers,image_resolution,backend,dtype,device,warmup,repeats,seed,strength,threads,status,stage,host,commit,error,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,process_lifetime_hwm_bytes,throughput_samples_per_second,gradients_finite,mean_forward_seconds,mean_backward_seconds,mean_end_to_end_seconds,true_primal_relative_residual_max,flip_count_sum,minimum_signed_area,all_layer_sample_topology_certified,forward_methods,fallback_forward_layers,max_forward_iterations,max_forward_reported_relative_residual,adjoint_methods,fallback_adjoint_layers,max_adjoint_iterations,max_adjoint_reported_relative_residual,primary_failures,measured_primal_systems,measured_adjoint_systems
17,1,1,256,directed_iterative,float32,cuda,0,1,1701,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14021632,25165824,1121976320,1.3495210700208125,True,0.4581884518265724,0.27525339648127556,0.7410036213696003,8.533317255852641e-06,0,5.924780017618758e-05,True,bicgstab,0,34,8.53696110425517e-06,bicgstab,0,43,7.899963748059236e-06,,1,1
17,1,1,256,directed_iterative,float32,cuda,0,1,1702,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14021632,25165824,1093578752,1.4204344994519773,True,0.3725333884358406,0.32402120903134346,0.704009935259819,9.865908124034245e-06,0,2.445518368654475e-05,True,bicgstab,0,31,9.849998605204746e-06,bicgstab,0,54,9.163592949334998e-06,,1,1
17,1,1,256,directed_iterative,float32,cuda,0,1,1703,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,14021632,25165824,1094529024,1.3143314594016782,True,0.42701440304517746,0.32630883902311325,0.7608430832624435,7.570865838730231e-06,0,1.7272342411080867e-05,True,bicgstab,0,31,7.5772672971652355e-06,bicgstab,0,55,9.656082511355635e-06,,1,1
17,1,4,256,directed_iterative,float32,cuda,0,1,1701,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,27727360,33554432,1139396608,0.5556036226275736,True,0.9056346081197262,0.8867162764072418,1.7998442761600018,9.658085089939772e-06,0,1.7272342411080867e-05,True,bicgstab,0,34,9.674646207713522e-06,bicgstab,0,64,9.77873060037382e-06,,4,4
17,1,4,256,directed_iterative,float32,cuda,0,1,1702,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,27727360,33554432,1141862400,0.6141150820311061,True,0.913362130522728,0.7074908018112183,1.628359291702509,9.865908124034245e-06,0,2.4380257737988135e-05,True,bicgstab,0,33,9.849998605204746e-06,bicgstab,0,42,9.277314347855281e-06,,4,4
17,1,4,256,directed_iterative,float32,cuda,0,1,1703,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,27727360,33554432,1138823168,0.5681854195751632,True,0.8728430233895779,0.8795716166496277,1.7599888443946838,9.66596504422827e-06,0,1.7272342411080867e-05,True,bicgstab,0,31,9.678115020506084e-06,bicgstab,0,91,9.701407179818489e-06,,4,4
17,4,1,256,directed_iterative,float32,cuda,0,1,1701,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,20371456,23068672,1090457600,4.385142775659239,True,0.6059374734759331,0.2986791506409645,0.912170983850956,9.691281552235845e-06,0,7.5046250582744295e-06,True,bicgstab,0,55,9.697436325950548e-06,bicgstab,0,47,9.584865438228007e-06,,4,4
17,4,1,256,directed_iterative,float32,cuda,0,1,1702,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,20371456,23068672,1091678208,4.666230149010475,True,0.5446981564164162,0.30506109446287155,0.8572230413556099,9.703230974946658e-06,0,2.142969988749855e-05,True,bicgstab,0,37,9.704939657240175e-06,bicgstab,0,43,9.737808795762248e-06,,4,4
17,4,1,256,directed_iterative,float32,cuda,0,1,1703,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,20371456,23068672,1092530176,3.928331167054851,True,0.5291054509580135,0.48155850917100906,1.0182440914213657,9.56367864732604e-06,0,1.098306128710646e-05,True,bicgstab,0,34,9.558117199048866e-06,stationary_fallback,1,582,9.969220627681352e-06,BiCGStab breakdown: nonfinite dot-product scale,4,4
17,4,4,256,directed_iterative,float32,cuda,0,1,1701,1.0,1,ok,complete,ai,e31586cc9e7012b7d16bb52dce9fad3061f3aa82,,105854464,113246208,1140379648,1.5164849382254044,True,1.6528856977820396,0.9772004224359989,2.637678686529398,9.845141519031973e-06,0,7.5046250582744295e-06,True,bicgstab,0,55,9.84804592008004e-06,bicgstab|stationary_fallback,1,561,9.963423508452252e-06,BiCGStab breakdown: nonfinite dot-product scale,16,16
