case,genus,seed,mode,passed,certified,registration_success,initial_dense_rmse_median_edges,final_dense_rmse_median_edges,dense_improvement_fraction,initial_landmark_rmse_median_edges,final_landmark_rmse_median_edges,initial_curvature_rmse,final_curvature_rmse,flow_replay_max_error
official_genus5,5,3,combined,True,True,True,0.2305699276318312,0.2219098286343964,0.03755953383158914,0.21025826171956832,0.16680752797572093,0.694368020813656,0.6309560800455287,8.326672684688674e-17
official_genus5,5,3,curvature,True,True,False,0.2305699276318312,0.23185913624706103,-0.005591399661140523,0.21025826171956832,0.229200954205492,0.694368020813656,0.6292099592512072,6.359601310784502e-17
official_genus5,5,3,landmark,True,True,True,0.2305699276318312,0.2067520055947636,0.10330021040341193,0.21025826171956832,0.03171193103788125,0.694368020813656,0.6984674826553443,1.1113066979184075e-16
official_genus5,5,11,combined,True,True,False,0.21213804745294026,0.21440886389201183,-0.01070442792481777,0.18272157666555275,0.14136335437827421,0.6594869137747552,0.6005171301278495,6.208759259556274e-17
official_genus5,5,11,curvature,True,True,False,0.21213804745294026,0.22510390829914628,-0.061119921682518126,0.18272157666555275,0.21474322481823852,0.6594869137747552,0.5960607976584495,6.359601310784502e-17
official_genus5,5,11,landmark,True,True,True,0.21213804745294026,0.19101678288618532,0.0995637737800919,0.18272157666555275,0.009363817598344192,0.6594869137747552,0.6639141522838812,5.763878168445254e-17
official_genus5,5,29,combined,True,True,True,0.20433715174553702,0.20251749696358848,0.008905158784901564,0.16174499424489255,0.11564168733868975,0.6821787407780979,0.6176253233919016,6.245004513516506e-17
official_genus5,5,29,curvature,True,True,False,0.20433715174553702,0.21160996000070478,-0.035592197468939296,0.16174499424489255,0.18153479293794092,0.6821787407780979,0.6140169688965399,9.71445146547012e-17
official_genus5,5,29,landmark,True,True,True,0.20433715174553702,0.18691490883305809,0.08526223823543859,0.16174499424489255,0.008969348904050526,0.6821787407780979,0.6799783909763648,6.359601310784502e-17
